,eval_cost,eval_accu,train_cost,train_accu,test_cost,test_accu
0,0.7977517107761274,8831,0.8661904638309554,43492,0.8521239943283776,8750
1,0.6817763251511436,9041,0.717484524796623,44916,0.7162837077638983,8994
2,0.6339485326835187,9103,0.668248884757082,45281,0.6748709352827367,9038
3,0.6476435276535879,9132,0.6621016052401113,45434,0.6808069447647538,9097
4,0.6094916071112639,9191,0.6273969858975119,45730,0.649640751819293,9137
5,0.5966102869449487,9206,0.6071130176486501,45838,0.6463104093474262,9139
6,0.593577407285281,9201,0.5920337342567933,46003,0.6344571182294061,9183
7,0.5410352764867923,9262,0.5495111969912101,46267,0.5840073876117572,9238
8,0.5490054836001957,9255,0.5428927511648145,46231,0.5754440412548373,9234
9,0.5607844844785173,9282,0.5509709562459802,46274,0.6024981381007135,9228
10,0.5240419181378572,9310,0.5065777698733931,46561,0.5479487354646336,9287
11,0.5308726531425692,9312,0.5135337409665721,46563,0.557049991603054,9295
12,0.5293307968050566,9331,0.5007993165988848,46701,0.5712489768201595,9298
13,0.5134156297340603,9351,0.49329524808706476,46710,0.54962357436099,9292
14,0.5168000596176803,9352,0.49179461017044696,46746,0.5560774397902253,9270
15,0.5159567620898817,9352,0.48674860354545474,46734,0.543438650022435,9293
16,0.5144957159037586,9344,0.48629045621701983,46791,0.5453122302093278,9322
17,0.523662571329592,9350,0.4878319848729993,46816,0.5618163057649205,9294
18,0.48215168745000275,9373,0.4519649786280878,46926,0.5149915618072504,9334
19,0.4850957374267053,9384,0.4490365003068387,46985,0.5114847566642418,9343
20,0.4982887662620903,9385,0.4566854278941561,46968,0.5346472186276329,9325
21,0.5142818163613121,9331,0.47758255114572085,46882,0.5546112353924945,9306
22,0.48506533744492164,9388,0.4458443831859258,47061,0.518889295132092,9339
23,0.49849115813418193,9397,0.46149384693993045,46973,0.5354864862935017,9328
24,0.5281733477103693,9321,0.4820640433307967,46782,0.5692727664829385,9297
25,0.49796137558903386,9343,0.4495934627770424,46982,0.5329102899304204,9313
26,0.5008469887183482,9363,0.4505640319585445,47078,0.5287684447063539,9326
27,0.4852024252136452,9413,0.43663013079663493,47094,0.5165670048674126,9365
28,0.4905196955649831,9359,0.4392563664261359,47052,0.5300820113676139,9326
29,0.5181632669907162,9357,0.4502040263085458,47067,0.5555520519890583,9320
30,0.5066866707008638,9391,0.4326567992332878,47187,0.5374136586479034,9355
31,0.4909216017333209,9383,0.4307867227206553,47170,0.5248432915571761,9360
32,0.472606387286624,9408,0.41566659552168633,47224,0.5082238666102726,9378
33,0.4889083152778983,9419,0.4254878049954733,47226,0.5205093896889865,9358
34,0.48476354263676785,9395,0.4171185973744432,47227,0.5049274642689054,9376
35,0.48934344139362934,9388,0.42129310504749123,47229,0.5220772955213685,9367
36,0.511540919090874,9387,0.4334595333601284,47164,0.5469551753189386,9345
37,0.4650184684905214,9413,0.4087226699595615,47283,0.5149736655669047,9372
38,0.4868416944816518,9414,0.42125792305616444,47254,0.5342240595208972,9360
39,0.486860907717254,9388,0.4211936917441482,47284,0.5310469095043826,9358
40,0.4691559247092825,9432,0.39959540868640375,47356,0.5108633792267959,9363
41,0.47974866091193846,9418,0.41181749628853925,47358,0.5152104311514568,9380
42,0.5112634610898524,9380,0.432741609523213,47135,0.5602199404626108,9318
43,0.46604621500383464,9428,0.3905189870558815,47471,0.5056753497293789,9382
44,0.4863353234223809,9394,0.4086909375512803,47325,0.5305310618874959,9361
45,0.46819027567608246,9438,0.38764681316913596,47448,0.5065734373038108,9378
46,0.4702270781058776,9428,0.38736849744033286,47440,0.5097140798054788,9379
47,0.4764938899290402,9421,0.4026614517734597,47364,0.5207509751232969,9376
48,0.47033266071506996,9433,0.3867226208568988,47503,0.5067034215323677,9404
49,0.5061967757562115,9401,0.41630063172609766,47300,0.5481088916896759,9330
