,eval_cost,eval_accu,train_cost,train_accu,test_cost,test_accu
0,0.9468087636403243,8410,0.9094850952179496,8503,0.979760525794554,8346
1,0.7390543401967312,8861,0.6708831268202892,8999,0.7598274317992737,8783
2,0.7189516268220394,8838,0.5960293984005679,9067,0.736552082469185,8832
3,0.6988141966477573,8842,0.5610399082166299,9140,0.7235746835199413,8850
4,0.6156074089478066,9022,0.4525727061014903,9368,0.6460891401617235,9002
5,0.5872140712816047,9098,0.4025702922960379,9417,0.6119077433128103,9049
6,0.5732682556037884,9089,0.3726715741518613,9446,0.5950871990318597,9051
7,0.5969185177470587,9083,0.3764298617745152,9448,0.625952225681702,9039
8,0.5574252874433226,9160,0.30917824622036333,9572,0.5737266552848977,9135
9,0.5780015759757537,9140,0.3035277809011222,9570,0.6039036559022134,9114
10,0.5778785869717064,9161,0.29436346071286007,9590,0.6138737650229057,9088
11,0.5666825568696037,9168,0.26964806524150303,9645,0.586786947020319,9130
12,0.5878672504700237,9133,0.26458404845288014,9647,0.6119232046634727,9112
13,0.5684528691915274,9175,0.23814012093375034,9700,0.5837108134259485,9172
14,0.5636042013632172,9171,0.22915276638144574,9707,0.5862591355787661,9150
15,0.571757036598075,9194,0.2307555846870589,9709,0.6115655835551616,9130
16,0.5754656004482779,9181,0.20656095158272847,9750,0.6060107782054477,9118
17,0.5671168788695699,9211,0.19279225375769746,9778,0.5910659068297655,9189
18,0.5639308793841736,9218,0.1862207123940352,9778,0.5950687767969307,9182
19,0.575661832284035,9204,0.17912544985007492,9792,0.6029716665903213,9168
20,0.5697014454816123,9230,0.1634274205617406,9811,0.6029998734235295,9174
21,0.588221955558054,9193,0.1654019873552492,9793,0.611856816572023,9153
22,0.5958685653980246,9207,0.15324174678313562,9820,0.6210774488667763,9154
23,0.5970173243991238,9208,0.15220804226448903,9827,0.6141864826240867,9183
24,0.6161125366943675,9195,0.15657082450250925,9829,0.6332996547533474,9148
25,0.5991504895439225,9215,0.1415804013471457,9831,0.6169489867923023,9180
26,0.6101287267698048,9191,0.1478116691944207,9840,0.6417120467159626,9165
27,0.6055499501737028,9225,0.1311234017555054,9855,0.6328755011577133,9184
