,eval_cost,eval_accu,train_cost,train_accu,test_cost,test_accu
0,1.0098647491559607,8631,0.9739946208170568,8702,1.0539912592463563,8542
1,0.8291142708616375,8932,0.7491728155039098,9104,0.8689785745033222,8883
2,0.7599578081064273,9014,0.6425424812886261,9271,0.7823584295026508,9032
3,0.7414639322972594,9054,0.5951789640376867,9326,0.7668655885658056,9048
4,0.6912553097027618,9123,0.522745709155593,9413,0.7205524533503997,9108
5,0.6825212686990833,9178,0.4924759286788854,9508,0.7133562908653164,9134
6,0.6576939242761738,9188,0.449134805764415,9535,0.6977852464719864,9146
7,0.6390238084835468,9216,0.41088860349713274,9624,0.6823188058458839,9168
8,0.6517324205426998,9216,0.409078906412409,9620,0.6863105655394786,9191
9,0.6474214939238577,9233,0.38280983041400274,9661,0.6696439222957348,9204
10,0.6417608438487635,9244,0.37088861800603096,9665,0.6796116724266611,9204
11,0.6240200045120636,9267,0.3415297704773428,9719,0.6618347151451541,9244
12,0.6484596612610235,9238,0.3427276565882489,9726,0.6694846994105973,9224
13,0.6303440852534452,9270,0.31874542015392415,9763,0.6678445531404497,9240
14,0.6292447973087829,9288,0.309813560130091,9780,0.6643475176051233,9212
15,0.629509736721803,9279,0.29713561130868593,9777,0.6627592026992539,9239
16,0.667195906908633,9250,0.31177884088631835,9777,0.703579825608898,9185
17,0.6361648022455907,9285,0.27929418439790055,9813,0.6737667543222027,9231
18,0.6497841061533418,9271,0.27950963496545894,9796,0.6974096124292283,9226
19,0.6471159597136438,9261,0.27498297850727604,9817,0.674080634519224,9236
20,0.650685283930495,9279,0.26027864441757415,9840,0.6809883270241279,9232
21,0.6525078000810512,9301,0.25264907356842803,9850,0.6882350879540498,9227
22,0.6573313916392489,9286,0.24842083903092524,9854,0.6918077440256114,9229
23,0.6495249492415127,9285,0.23709928193266394,9865,0.6733452834546525,9239
24,0.6593970192431671,9290,0.24490116141998763,9859,0.6865582599076547,9253
25,0.6682997142129303,9291,0.24045825881581145,9864,0.7024934019351771,9212
26,0.6758379602299779,9276,0.23470369453339773,9878,0.7026545350303685,9243
27,0.6706698282524105,9273,0.22904904737973175,9877,0.6922992821336272,9243
28,0.6641038064387925,9293,0.22015580409930885,9898,0.6925466642962381,9237
29,0.6539695261279775,9308,0.21311237884130896,9901,0.6937641530467036,9239
30,0.6634876274030554,9302,0.2166357392909095,9899,0.7082877768941314,9208
31,0.66787889893222,9301,0.21269142714517192,9905,0.6978463303443949,9244
32,0.6746541930609706,9308,0.20627484650182615,9907,0.6999157081756952,9250
33,0.67743349913563,9292,0.2059849098871145,9910,0.7064348585691979,9231
34,0.6838139627201205,9302,0.19890408447291172,9916,0.7112267758785926,9250
35,0.6706011851287682,9291,0.2001459655154098,9918,0.6997568042759695,9241
36,0.6663290230955408,9309,0.18966588011435465,9925,0.70258187486455,9237
37,0.6903074145491017,9277,0.19476601837405477,9917,0.7161763449390387,9257
38,0.6772675862736173,9300,0.19185293973214296,9925,0.7113309357537387,9239
39,0.678970815690376,9298,0.18314180800098606,9931,0.7071986076882117,9252
40,0.6778485842759197,9298,0.1801392106805898,9934,0.7082255213791885,9249
41,0.6737053900479674,9315,0.1775755726267321,9937,0.7102820460822608,9258
42,0.6760389887310732,9319,0.1752121442987747,9938,0.7081340886566849,9268
43,0.6922710338605496,9298,0.17409264715494666,9941,0.7279892267933844,9246
44,0.7021637499918083,9278,0.17659674993790944,9930,0.7249019668229351,9242
45,0.6811014160256477,9311,0.1679232798245267,9941,0.7156568493816192,9248
46,0.6823208440444499,9291,0.1688984414449753,9942,0.7161034079247264,9253
47,0.691972535528754,9309,0.16490007524533828,9942,0.7182182453342554,9261
48,0.6870629372433982,9299,0.16307620940148948,9943,0.7213120826131552,9253
49,0.693110505856533,9305,0.16235734859227488,9942,0.7274712270940833,9251
