,eval_cost,eval_accu,train_cost,train_accu,test_cost,test_accu
0,4.333252274804766,9209,1.312393686226971,45859,4.3551192118034034,9177
1,2.9299063788515705,9352,0.9353223445767359,46667,2.9468332033413285,9276
2,2.1114759236014087,9429,0.7399926990443266,47089,2.140883273502073,9349
3,1.6115970285362353,9494,0.5804167790217636,47571,1.6245718564032072,9461
4,1.370382057942681,9455,0.548228513048951,47434,1.3831391253285361,9432
5,1.1778793445928821,9542,0.46550378680654864,47964,1.1907727833538062,9502
6,1.0728919392736458,9568,0.43077632023274426,48080,1.0819930006539393,9546
7,1.0176088506083876,9582,0.4290357592099975,48030,1.0389976795361684,9522
8,0.9863424365801139,9596,0.4046389853704224,48208,0.9986185376217961,9557
9,0.9767276980727236,9582,0.40096055575700273,48163,0.9885852931232748,9518
10,0.9506275601190232,9602,0.39207343167644815,48294,0.9717798848929938,9571
11,0.962601233666987,9576,0.3949035429916966,48202,0.9801757317120466,9527
12,0.9614879080950255,9598,0.3854054677693022,48325,0.9684173884100538,9575
13,1.0074848869740245,9517,0.4312847374170684,47870,1.0039850216821746,9528
14,0.9656440483207158,9585,0.3903660315197347,48265,0.9704309738668604,9571
15,1.0020983069911995,9540,0.42508438194576903,48034,1.0203471656148557,9506
16,0.9532965813123855,9620,0.3783551864133339,48398,0.9695807017158606,9577
17,0.9812859359990456,9578,0.4081645944624067,48131,1.0053607767174042,9526
18,1.0021987422264078,9535,0.41513934020105797,48075,1.0226632110784406,9483
19,0.9956231057867011,9530,0.42542608908815277,47947,1.0395426923718132,9450
20,0.9573836494457058,9608,0.3796208833678315,48353,0.9716779396215695,9566
21,0.9568481809313087,9604,0.37610590144245265,48364,0.977280142389888,9564
22,0.9519014431861756,9610,0.37264956607949307,48389,0.9719370197956614,9563
23,0.9464880300477267,9639,0.36948357590229614,48433,0.9588460397448658,9583
24,0.9682751875794832,9611,0.37534880676323523,48418,0.9785955542878433,9575
25,0.9540370515775409,9614,0.3668523117612652,48461,0.966928091649681,9580
26,0.9584681361606269,9609,0.37315021993731967,48405,0.9756250523028105,9577
27,0.9708480178376102,9574,0.38393672312516,48306,0.9761024838479586,9578
28,0.955586757464944,9609,0.3635483278717122,48493,0.9665203769351371,9579
29,0.9636886159629217,9596,0.36660601716013896,48463,0.9728228751738117,9591
30,0.9607337272280836,9629,0.3740052718181648,48463,0.962556713473679,9612
31,0.949074924221569,9642,0.3567527621055063,48559,0.9562269655540774,9617
32,0.9582190078857615,9635,0.36032351132250273,48503,0.9704579834916987,9588
33,0.9752701401355115,9616,0.3870223793865215,48311,0.9834544967751342,9563
34,0.973691964625228,9606,0.3756175876754278,48424,0.9810788251795606,9592
35,0.9650721394996147,9634,0.36366751961405686,48505,0.9654487014447194,9605
36,0.9667801653690958,9623,0.36897129560150377,48467,0.9760630243262709,9586
37,0.9956657418240238,9539,0.40076745880998776,48136,1.0097806622920462,9513
38,1.0115827604719128,9542,0.4275638196822969,47986,1.02713575385615,9470
39,0.9552963548723601,9624,0.37126520170792826,48476,0.969409509104398,9575
40,0.9688199879379537,9604,0.37694428696296756,48330,0.9772183118396145,9575
41,0.9694294634295393,9619,0.3678221752945999,48479,0.9747135266611544,9593
42,0.9677258132565811,9601,0.37174882167953543,48414,0.9812874244616816,9571
43,0.9695941011715996,9621,0.37258089047016507,48473,0.9756440367991296,9596
44,0.9637075003449393,9605,0.36599937772556046,48490,0.9755379448653747,9592
45,0.9754880731747808,9593,0.38365163968879434,48284,0.9831160864596287,9542
46,0.9598238707059163,9621,0.36138091179914955,48522,0.9626142010691956,9597
47,0.9666050577703362,9615,0.3653195860836498,48461,0.9693016687953993,9571
48,0.9738373697475577,9615,0.3798665067346966,48440,0.9823483634858245,9581
49,0.9640927756116935,9611,0.3767098887773286,48351,0.9665859897541584,9587
