,eval_cost,eval_accu,train_cost,train_accu,test_cost,test_accu
0,4.379520203834344,9220,1.3129573319327763,45908,4.3667979764500435,9195
1,2.9640530219324934,9367,0.9242479378282495,46927,2.954983673376418,9395
2,2.159061836327636,9407,0.7452107525352001,47159,2.156646281358285,9395
3,1.664197216949276,9460,0.6165027631737576,47382,1.6684664704683876,9417
4,1.3628158165164797,9497,0.5174421818911364,47788,1.3599637903295247,9503
5,1.2100785271606405,9494,0.4905564605163928,47746,1.2128160740488105,9481
6,1.102778416106825,9529,0.4496643872298609,47917,1.0904569914494493,9532
7,1.0779257576721994,9521,0.4650606251218645,47822,1.0724079913662394,9495
8,0.9900046402752227,9591,0.4009171048298041,48181,0.9919703708365025,9571
9,0.9714982262583873,9571,0.39836229367524595,48120,0.9742390098600162,9551
10,0.9686839180644039,9587,0.4037602080082776,48146,0.9691147557672839,9550
11,0.9936887433471857,9506,0.4282181592030132,47929,0.9953114436198169,9483
12,0.9604649034960655,9591,0.4040429919592984,48180,0.9646866377271089,9535
13,0.9577797625622644,9598,0.40607983759959726,48156,0.9687159813084955,9534
14,0.9529760929843379,9613,0.3962613000453202,48255,0.9583247362666124,9558
15,0.9483711754606821,9630,0.37758630471932364,48401,0.9517834544753927,9583
16,0.9505875379475921,9582,0.38353062001425786,48223,0.9566777392154406,9565
17,0.9215225272422145,9656,0.3600649926718489,48500,0.927330897866289,9617
18,0.9471982341261811,9609,0.3764821626190218,48336,0.9516023606915616,9583
19,0.9594441450152249,9609,0.38861649621104666,48331,0.9585386596312861,9581
20,0.9468180019558727,9616,0.3806816379794806,48344,0.9546417671484964,9577
21,0.9416111949873803,9627,0.36761844459476967,48448,0.9494881207747528,9583
22,0.9553310771802339,9585,0.3917188175601144,48205,0.9616681622191263,9557
23,0.9413475937583249,9634,0.36250712660547363,48530,0.9325912675563304,9622
24,0.9356152414326628,9624,0.35954986019112545,48461,0.9379384489890767,9588
25,0.965339409334923,9620,0.3924940672909449,48305,0.9730435154337127,9557
26,0.94951205732715,9623,0.3854074889103769,48250,0.9570062393350187,9571
27,0.9506220695312089,9612,0.3773909687058262,48374,0.9554192623081545,9585
28,0.9502545147168726,9613,0.38112392886616214,48318,0.9596224361339556,9555
29,0.947758063176559,9613,0.3768503979207625,48386,0.944964594763722,9579
30,0.9470484076588106,9624,0.38013311073506456,48385,0.9615876591183177,9563
31,0.9462530879447042,9627,0.3739190372341954,48396,0.9485002411214192,9596
32,0.9492088283353922,9619,0.37217174014329957,48441,0.9518666689068482,9602
33,0.9562279845696218,9610,0.3887608332641944,48286,0.9601418097263392,9573
34,0.9496083235844348,9590,0.37951091362730527,48338,0.9492106763244932,9568
35,0.977715949893785,9566,0.4070810883921099,48073,0.986484455444489,9520
36,0.9398266229300938,9635,0.35985621057678346,48482,0.9368019712929061,9606
37,0.9494683175354808,9608,0.37110268836848753,48449,0.9589484796018497,9592
38,0.9352124606946404,9646,0.3607966942118792,48501,0.9409368220512855,9586
39,0.9490927665383275,9626,0.37418249126168934,48421,0.9456472155610198,9608
40,0.9641057684713789,9569,0.39099792034381164,48310,0.9780771565551454,9542
41,0.9421868151596843,9629,0.3653236550523024,48512,0.9415436399595668,9604
42,0.9535247227513178,9604,0.37563285669530866,48400,0.9570180378427632,9585
43,0.9413612836489251,9617,0.35990765418214815,48503,0.9355785176698602,9596
44,0.945078300270224,9623,0.3549428686923552,48544,0.9373773984555549,9612
45,0.9568615334842592,9607,0.3771456407373822,48378,0.9542582682700773,9596
46,0.9507601295092521,9627,0.3728377382671516,48443,0.9567910869410947,9582
47,0.9460048075859813,9627,0.36763321167243707,48427,0.9553250228687076,9593
48,0.9663772138621831,9599,0.3841514141590101,48343,0.9659997971081309,9592
49,0.9812181684638611,9573,0.4003345712306561,48223,0.9832254936283219,9565
